what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1250719456796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250719459359
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250719472375
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250719474406
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1250719474781
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1250719477906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250719490734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250719493812
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1250719493828
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250719494515
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250719500937
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250719503265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250719506656
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250719506859
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1250719507781
stopped,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1250719507781
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1250719507828
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1250719507828
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1250719507828
stopped,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1250719507843
